010010,,01,01,23.2
010010,,01,21,20.8
010010,,02,10,23.0
010010,,03,02,19.6
010010,,03,23,16.0
010010,,04,12,23.9
010010,,05,02,23.7
010010,,05,22,28.4
010010,,06,12,38.1
010010,,07,02,34.9
010010,,07,22,43.0
010010,,08,11,41.0
010010,,08,31,41.7
010010,,09,20,37.8
010010,,10,10,43.7
010010,,10,30,34.2
010010,,11,19,24.3
010010,,12,09,11.5
010010,,12,29,14.7
010050,,01,18,7.3
010050,,02,07,10.6
010050,,02,27,17.8
010050,,03,19,10.4
010050,,04,08,14.7
010050,,04,28,11.5
010050,,05,18,31.3
010050,,06,08,34.0
010050,,06,28,36.7
010050,,07,18,43.7
010050,,08,07,40.8
010050,,08,27,40.3
010050,,09,16,36.3
010070,,02,03,12.2
010070,,03,03,15.7
010070,,03,28,12.9
010070,,04,17,13.6
010080,,10,19,15.6
010080,,11,08,26.6
010080,,11,28,18.6
010080,,12,18,10.3
010100,,01,08,21.6
010100,,01,28,35.3
010100,,02,17,31.5
010100,,03,09,33.7
010100,,03,29,30.7
010100,,04,18,36.9
010100,,05,08,40.6
010100,,05,28,31.1
010100,,06,18,44.5
010100,,07,08,43.0
010100,,07,28,52.8
010100,,08,17,46.1
010100,,09,06,43.5
010100,,09,26,46.1
010100,,10,16,45.5
010100,,11,05,41.7
010100,,11,25,37.6
010100,,12,15,25.9
010140,,02,11,24.8
010140,,03,29,31.5
010230,,01,03,33.1
010230,,01,23,26.4
010230,,02,12,6.5
010230,,03,04,34.8
010230,,03,24,29.4
010230,,04,13,27.3
010230,,05,03,36.3
010230,,05,23,38.9
010230,,06,13,45.4
010230,,07,03,45.4
010230,,07,23,58.3
010230,,08,13,49.2
010230,,09,02,45.2
010230,,09,22,41.3
010230,,10,12,37.4
010230,,11,01,0.4
010230,,11,21,19.7
010230,,12,11,25.3
010230,,12,31,14.9
010250,,01,20,13.7
010250,,02,09,30.1
010250,,03,01,27.3
010250,,03,21,39.8
010250,,04,10,30.1
010250,,04,30,40.8
010250,,05,20,44.8
010250,,06,10,40.6
010250,,06,30,51.2
010250,,07,20,46.3
010250,,08,10,53.8
010250,,08,30,46.6
010250,,09,19,45.0
010250,,10,09,36.1
010250,,10,29,24.6
010250,,11,18,23.4
010250,,12,08,27.0
010250,,12,29,15.6
010280,,01,18,7.5
010280,,02,07,21.2
010280,,02,27,22.8
010280,,03,19,23.2
010280,,04,08,15.8
010280,,04,28,23.7
010280,,05,18,33.6
010280,,06,08,32.2
010280,,06,28,37.9
010280,,07,18,35.6
010280,,08,07,38.3
010280,,08,27,39.6
010280,,09,16,40.1
010280,,10,06,34.9
010280,,10,26,17.8
010280,,11,15,24.6
010280,,12,05,24.1
010280,,12,25,-5.1
010330,,01,18,26.6
010330,,02,17,32.3
010330,,03,13,39.2
010330,,04,02,34.2
010330,,04,23,43.2
010330,,05,13,38.9
010330,,06,03,36.7
010330,,06,23,47.4
010330,,07,15,42.5
